customer_id,name,city,persona
1,Pål Sivertsen,Oslo,Busy Parent
2,Kjersti Thomassen,Sandnes,Busy Parent
3,Emil-Dag Thomassen,Stavanger,Bargain Hunter
4,Magne Holm,Bodø,Busy Parent
5,Emilie Karlsen,Haugesund,Bargain Hunter
6,Cathrine Aas,Trondheim,Bargain Hunter
7,Maria Haugen,Porsgrunn,Bargain Hunter
8,Sander Birkeland,Bodø,Busy Parent
9,Karoline Johansen,Bodø,Bargain Hunter
10,Tor Henriksen-Bøe,Tønsberg,Quality Seeker
11,Ann-Sofie Knutsen,Oslo,Busy Parent
12,Dag-Finn Hauge,Drammen,Busy Parent
13,Ida Myhre,Skien,Busy Parent
14,Silje Jenssen,Fredrikstad,Quality Seeker
15,Kjell Danielsen,Skien,Student
16,Camilla Ellingsen,Sandefjord,Bargain Hunter
17,Mette Andreassen,Ålesund,Bargain Hunter
18,Alf Kristiansen,Bergen,Busy Parent
19,Espen Halvorsen,Bodø,Busy Parent
20,Randi Vik,Sandefjord,Bargain Hunter
21,Trine-Eli Haugen,Sarpsborg,Bargain Hunter
22,Ole Knudsen,Hamar,Student
23,Tobias Andersen,Ålesund,Student
24,Asbjørn Andersen,Trondheim,Busy Parent
25,Nina-Siv Pedersen,Sandnes,Bargain Hunter
26,Prof. Andreas Strøm,Trondheim,Busy Parent
27,Cathrine Lie,Stavanger,Student
28,Gro Arnesen,Tønsberg,Quality Seeker
29,Sigurd Jacobsen,Ålesund,Busy Parent
30,Laila Christensen,Ålesund,Bargain Hunter
31,Jan Dahl,Tromsø,Bargain Hunter
32,Roger Helland,Trondheim,Busy Parent
33,Eirik-Karl Engen,Drammen,Busy Parent
34,Jorunn Brekke,Sandnes,Busy Parent
35,Jan Ødegård,Sandefjord,Bargain Hunter
36,Sondre Eliassen,Bodø,Quality Seeker
37,Kenneth Brekke,Skien,Bargain Hunter
38,Ole-Sebastian Myhre,Bergen,Student
39,Mette Larsen,Bergen,Bargain Hunter
40,Emma Thomassen,Sandefjord,Student
41,Håkon Eriksen-Hanssen,Fredrikstad,Quality Seeker
42,Ivar Hanssen,Arendal,Student
43,Mari Moen,Skien,Student
44,Sigrid Myhre,Moss,Bargain Hunter
45,Wenche Kristensen,Tønsberg,Quality Seeker
46,Linda-Randi Strøm,Kristiansand,Bargain Hunter
47,Per-Frank Solberg,Bodø,Bargain Hunter
48,Ole Ødegård,Arendal,Busy Parent
49,Dr. Svein Henriksen,Arendal,Quality Seeker
50,Linda Ruud,Sandnes,Quality Seeker
51,Vilde-Grethe Næss,Kristiansand,Student
52,Odd Helland,Trondheim,Busy Parent
53,Stig Hanssen,Stavanger,Busy Parent
54,Helene Danielsen,Drammen,Bargain Hunter
55,Øystein Evensen,Haugesund,Busy Parent
56,Helene-Randi Hauge,Sandefjord,Busy Parent
57,Adrian Eliassen,Tønsberg,Quality Seeker
58,Eivind-Sigurd Ødegård,Bodø,Busy Parent
59,Siri Engen,Oslo,Student
60,Hege Antonsen,Stavanger,Busy Parent
61,Hanne-Britt Ødegård,Bodø,Busy Parent
62,Øyvind Johnsen,Skien,Busy Parent
63,Fredrik Rønning,Haugesund,Bargain Hunter
64,Eli Berge,Oslo,Bargain Hunter
65,Markus Tveit-Johannessen,Tromsø,Student
66,Monica-Nora Sandvik,Drammen,Student
67,Sofie Svendsen,Stavanger,Busy Parent
68,Alf Knudsen,Sarpsborg,Student
69,Emil-Vegard Nygård,Porsgrunn,Student
70,Anne Berntsen,Kristiansand,Busy Parent
71,Unni Holm,Drammen,Quality Seeker
72,Hege Solheim,Porsgrunn,Busy Parent
73,Erik-Tobias Moe,Hamar,Student
74,Camilla Thorsen-Sørensen,Oslo,Quality Seeker
75,Grete Nilsen,Ålesund,Bargain Hunter
76,Gro Hanssen,Sarpsborg,Student
77,Dag Aune,Sandnes,Bargain Hunter
78,Dr. Håvard Olsen,Trondheim,Student
79,Kristine Brekke,Moss,Bargain Hunter
80,Petter-Marius Kristoffersen,Bodø,Student
81,John-Leif Solheim,Kristiansand,Busy Parent
82,Nora Sivertsen,Bodø,Busy Parent
83,Julie Knutsen,Porsgrunn,Bargain Hunter
84,Liv Solheim,Haugesund,Student
85,Øyvind-Erling Sørensen,Bodø,Student
86,Kjell Solberg,Fredrikstad,Busy Parent
87,Bjørg Engen,Sandefjord,Busy Parent
88,Hanna Halvorsen,Ålesund,Student
89,Prof. Sigurd Hagen,Porsgrunn,Quality Seeker
90,Thomas-Andreas Ruud,Sandnes,Quality Seeker
91,Thor Eliassen,Skien,Bargain Hunter
92,Nils Eriksen,Bodø,Bargain Hunter
93,Øyvind Evensen-Hansen,Sandnes,Bargain Hunter
94,Leif Eriksen-Sæther,Bergen,Bargain Hunter
95,Anna Andersen,Bergen,Bargain Hunter
96,Roar Martinsen-Abrahamsen,Trondheim,Student
97,Vidar-Kristoffer Martinsen,Tromsø,Busy Parent
98,Ellen Lien,Fredrikstad,Busy Parent
99,Helene Halvorsen,Arendal,Busy Parent
100,Tom Rasmussen,Sandnes,Busy Parent
101,Erling Moen,Haugesund,Busy Parent
102,Stine Gulbrandsen,Stavanger,Bargain Hunter
103,Line Amundsen,Ålesund,Busy Parent
104,Solveig Brekke,Tønsberg,Quality Seeker
105,Anette Ahmed,Bergen,Student
106,Trine Gulbrandsen,Stavanger,Busy Parent
107,Siri Ruud,Skien,Bargain Hunter
108,Vilde Tangen,Stavanger,Student
109,Stig-Hans Jakobsen,Fredrikstad,Bargain Hunter
110,Ellen Jørgensen,Kristiansand,Busy Parent
111,Eirik Næss,Tromsø,Quality Seeker
112,Thomas-Finn Christensen,Trondheim,Quality Seeker
113,Sigrid Hanssen,Bodø,Quality Seeker
114,Hilde Jensen,Bodø,Bargain Hunter
115,Thomas Myhre-Vik,Trondheim,Student
116,Reidun Madsen,Sandnes,Student
117,Sara Jenssen,Moss,Bargain Hunter
118,Siv-Emilie Jenssen,Sandefjord,Quality Seeker
119,John Vik,Drammen,Student
120,Emil Strøm,Sandefjord,Quality Seeker
121,Dr. Tor Karlsen,Tønsberg,Quality Seeker
122,Turid Moen-Kristiansen,Bodø,Quality Seeker
123,Thor Tangen,Moss,Busy Parent
124,Henrik Ellingsen,Sarpsborg,Bargain Hunter
125,Harald Fredriksen,Bergen,Bargain Hunter
126,Ola Rønning,Bodø,Busy Parent
127,Johan Ellingsen-Henriksen,Skien,Bargain Hunter
128,Irene Christensen,Arendal,Bargain Hunter
129,Turid Jørgensen-Brekke,Porsgrunn,Quality Seeker
130,Karin Berge,Porsgrunn,Bargain Hunter
131,Ann Andersen,Drammen,Bargain Hunter
132,Vegard-Tom Johnsen,Trondheim,Bargain Hunter
133,Magne-Nils Larsen,Sandnes,Busy Parent
134,Roar Hagen,Arendal,Quality Seeker
135,Sander Helland,Hamar,Bargain Hunter
136,Karen Myhre,Trondheim,Bargain Hunter
137,Sondre Jacobsen,Arendal,Quality Seeker
138,Sindre Solheim,Skien,Busy Parent
139,Sander Lie,Fredrikstad,Student
140,Karen Thomassen,Skien,Busy Parent
141,Sverre-Ole Evensen,Sandefjord,Bargain Hunter
142,Tobias-Tore Pedersen,Sarpsborg,Bargain Hunter
143,Håkon Halvorsen,Trondheim,Quality Seeker
144,Finn Ahmed,Hamar,Bargain Hunter
145,Helene Bakken,Stavanger,Student
146,Karin Jensen-Isaksen,Fredrikstad,Bargain Hunter
147,Stine Jenssen,Kristiansand,Busy Parent
148,Olav Hauge,Trondheim,Student
149,Ole Strand,Ålesund,Student
150,Hege Iversen,Tønsberg,Quality Seeker
151,Geir Hansen,Sarpsborg,Student
152,Joakim Lunde,Porsgrunn,Busy Parent
153,Kristine Fredriksen,Bodø,Bargain Hunter
154,Hans Amundsen,Stavanger,Quality Seeker
155,Daniel Holm,Kristiansand,Student
156,Anders Fredriksen,Stavanger,Quality Seeker
157,Emil Lien,Kristiansand,Busy Parent
158,Siri-Inger Strand,Hamar,Quality Seeker
159,Julie-Hanne Larsen,Skien,Bargain Hunter
160,Dr. Jonas Aasen,Tromsø,Bargain Hunter
161,Per Myhre,Tromsø,Busy Parent
162,Emil Johnsen,Bergen,Student
163,Stian-Robert Myklebust,Haugesund,Bargain Hunter
164,Sebastian-Karl Jenssen,Bergen,Student
165,Gunnar Eide,Kristiansand,Bargain Hunter
166,Siri Tangen,Tromsø,Busy Parent
167,Leif Edvardsen,Tønsberg,Bargain Hunter
168,Frank Pettersen,Haugesund,Busy Parent
169,Jonas-Roger Ellingsen,Stavanger,Busy Parent
170,Fredrik Berg,Kristiansand,Bargain Hunter
171,Marie Danielsen,Ålesund,Busy Parent
172,Håkon Ruud-Henriksen,Kristiansand,Busy Parent
173,Bjørn Dahl,Bergen,Quality Seeker
174,Johan Brekke,Bergen,Quality Seeker
175,Dr. Morten Johannessen,Fredrikstad,Student
176,Roger Myklebust-Gulbrandsen,Stavanger,Busy Parent
177,Sofie Haugen,Bodø,Quality Seeker
178,Anita Hauge,Haugesund,Student
179,Petter Moe,Kristiansand,Student
180,Aud-Janne Moen,Sandnes,Student
181,Jørgen-Robert Martinsen,Drammen,Student
182,Harald Johnsen,Oslo,Student
183,Egil Nguyen,Skien,Bargain Hunter
184,Magne Nielsen,Haugesund,Busy Parent
185,Henrik Aas,Sandnes,Student
186,Torill Helland-Moen,Stavanger,Quality Seeker
187,Sofie-Marit Haugland,Bergen,Quality Seeker
188,Dr. Frank Hansen,Sandnes,Student
189,Tore Pedersen-Sandvik,Tønsberg,Bargain Hunter
190,Lars Jakobsen,Sandnes,Quality Seeker
191,Hilde Strand,Fredrikstad,Bargain Hunter
192,Sander-Tore Simonsen,Tromsø,Quality Seeker
193,Øyvind Madsen,Tromsø,Student
194,Tone Halvorsen,Porsgrunn,Quality Seeker
195,Bjørg Rønning,Bodø,Quality Seeker
196,John Dahl,Oslo,Quality Seeker
197,Eva Henriksen,Tromsø,Bargain Hunter
198,Torill Myhre,Tromsø,Bargain Hunter
199,Hege Aasen,Hamar,Bargain Hunter
200,Elisabeth Ellingsen,Skien,Quality Seeker
201,Emil Knutsen,Porsgrunn,Quality Seeker
202,Kristin Hauge,Arendal,Bargain Hunter
203,Nina Myklebust,Bergen,Bargain Hunter
204,Hans Andreassen,Oslo,Busy Parent
205,Johan-Jens Olsen,Bodø,Busy Parent
206,Rolf Knutsen,Fredrikstad,Busy Parent
207,Marie Vik,Trondheim,Quality Seeker
208,Per Halvorsen-Aasen,Skien,Student
209,Marie Mathisen,Stavanger,Busy Parent
210,Nina Thomassen-Martinsen,Sarpsborg,Busy Parent
211,Sigurd-Roger Abrahamsen,Haugesund,Busy Parent
212,Berit Bakken,Sarpsborg,Quality Seeker
213,Irene Eliassen,Fredrikstad,Busy Parent
214,Dr. Håkon Isaksen,Sandefjord,Quality Seeker
215,Thor Pettersen,Drammen,Busy Parent
216,Marit-Marianne Thomassen,Sarpsborg,Busy Parent
217,Anna Ødegård,Oslo,Quality Seeker
218,Frank Ali,Fredrikstad,Quality Seeker
219,Cecilie Nilsen,Arendal,Quality Seeker
220,Rune Lunde,Skien,Busy Parent
221,Joakim Berntsen-Knudsen,Tønsberg,Quality Seeker
222,Gro Moe,Porsgrunn,Busy Parent
223,Kjersti Nygård,Drammen,Quality Seeker
224,Prof. Martin Danielsen,Sarpsborg,Busy Parent
225,Lars Jørgensen,Hamar,Busy Parent
226,Helene Nguyen-Sæther,Sandnes,Quality Seeker
227,Anne-Britt Aas,Sandnes,Busy Parent
228,Grethe Aune,Kristiansand,Student
229,Joakim Simonsen,Sandnes,Bargain Hunter
230,Hanne-Cathrine Tangen,Hamar,Student
231,Silje Andreassen-Antonsen,Trondheim,Student
232,Alexander Svendsen,Arendal,Quality Seeker
233,Eirik Brekke,Sandefjord,Bargain Hunter
234,Anita-Sissel Amundsen,Sandnes,Quality Seeker
235,Svein Birkeland,Oslo,Bargain Hunter
236,Øyvind-Stig Berg,Stavanger,Student
237,Unni Aasen,Sandnes,Busy Parent
238,Anne Thomassen,Porsgrunn,Bargain Hunter
239,Dr. Magnus Holm,Bodø,Quality Seeker
240,Cathrine Halvorsen,Stavanger,Bargain Hunter
241,Irene Sivertsen,Tønsberg,Quality Seeker
242,Jon-Øystein Danielsen,Bodø,Busy Parent
243,Emma-Sissel Andreassen,Tønsberg,Busy Parent
244,Dag-Morten Berntsen,Porsgrunn,Busy Parent
245,Prof. Espen Pettersen,Bodø,Quality Seeker
246,Kristoffer Edvardsen,Drammen,Quality Seeker
247,Adrian Lunde,Moss,Busy Parent
248,Karin Tveit,Sandnes,Quality Seeker
249,Stig-Kjell Knutsen,Tromsø,Student
250,Roger Knutsen,Porsgrunn,Busy Parent
251,Øyvind Johannessen,Sandnes,Quality Seeker
252,Dr. Øyvind Jakobsen,Trondheim,Quality Seeker
253,Laila Lie,Sandnes,Busy Parent
254,Prof. Einar Ruud,Skien,Quality Seeker
255,Ingeborg Ellingsen-Eriksen,Trondheim,Student
256,Magnus Berg-Sivertsen,Sandnes,Bargain Hunter
257,Irene-Kristin Johnsen,Kristiansand,Quality Seeker
258,Silje-Elisabeth Simonsen,Trondheim,Busy Parent
259,Tommy Madsen,Skien,Quality Seeker
260,Grete Bøe,Haugesund,Busy Parent
261,Sebastian Andreassen,Haugesund,Bargain Hunter
262,Leif Kristiansen,Arendal,Quality Seeker
263,Dr. Knut Sandvik,Oslo,Student
264,Henrik Iversen,Arendal,Student
265,Per-Johan Ali,Oslo,Quality Seeker
266,Erik Moe,Sarpsborg,Student
267,Heidi Thomassen,Haugesund,Busy Parent
268,Kenneth Isaksen,Bodø,Busy Parent
269,Kåre Jenssen,Sandnes,Busy Parent
270,Anders Haugland,Tromsø,Quality Seeker
271,Trine Jensen,Oslo,Quality Seeker
272,Robert-Olav Knudsen,Sandefjord,Quality Seeker
273,Mathias Nguyen,Tønsberg,Busy Parent
274,Janne Lund,Hamar,Student
275,Linda Rønning,Sandefjord,Busy Parent
276,Johannes Hanssen,Oslo,Busy Parent
277,Marit-Berit Bakke,Haugesund,Bargain Hunter
278,Anna Haugen,Tønsberg,Bargain Hunter
279,Kristian Aas,Tromsø,Bargain Hunter
280,Kristoffer Tveit,Fredrikstad,Quality Seeker
281,Prof. Jan Næss,Skien,Quality Seeker
282,Gro Hagen,Sandefjord,Busy Parent
283,Henrik Ahmed,Haugesund,Quality Seeker
284,Håvard Olsen-Jakobsen,Trondheim,Quality Seeker
285,Mathias-Vegard Evensen,Bodø,Quality Seeker
286,Vidar Moe,Ålesund,Bargain Hunter
287,Elise Moe,Trondheim,Bargain Hunter
288,Kim Pettersen,Bergen,Busy Parent
289,Håkon Knudsen,Sandnes,Busy Parent
290,Bjørn Rasmussen,Oslo,Bargain Hunter
291,Kåre Thorsen,Sandnes,Busy Parent
292,Sara Birkeland-Tangen,Stavanger,Bargain Hunter
293,Martine Helland,Fredrikstad,Busy Parent
294,Stig Næss,Tromsø,Quality Seeker
295,Emil Hagen,Drammen,Busy Parent
296,Mathias Myklebust,Stavanger,Busy Parent
297,Janne Hagen,Drammen,Busy Parent
298,Sigrid Holm,Stavanger,Student
299,Sara Solheim,Sarpsborg,Busy Parent
300,Tor Sandvik,Sandefjord,Busy Parent
301,Bjørg Aasen,Fredrikstad,Quality Seeker
302,Håkon Moen,Sandnes,Bargain Hunter
303,Dr. Sander Svendsen,Sarpsborg,Bargain Hunter
304,Nina-Ann Brekke,Hamar,Student
305,Einar-Stian Haug,Arendal,Student
306,Øystein Ali-Engen,Ålesund,Busy Parent
307,Torill Nielsen,Ålesund,Busy Parent
308,Siri-Stine Moen,Skien,Bargain Hunter
309,Sigurd Brekke,Haugesund,Bargain Hunter
310,Helge Berntsen,Stavanger,Student
311,Astrid Ellingsen,Ålesund,Quality Seeker
312,Joakim-Johannes Arnesen,Tønsberg,Busy Parent
313,Hege-Karoline Aasen,Haugesund,Busy Parent
